feature,score
"['서울아파트매매가격지수', '자가주거비포함지수', '수출물가지수']",-1.394015604
"['BAA', 'TWEXBMTH', 'TCU']",-1.395033604
"['BAA', 'TOTALSA', 'LRUNTTTTKRM156S']",-1.396305603
"['서울아파트매매가격지수', '수출물가지수', 'KORCPIALLMINMEI']",-1.398101112
"['서울아파트매매가격지수', 'XTEXVA01CNM667S', 'KORCPIALLMINMEI']",-1.402373281
"['UNRATENSA', '서울아파트매매가격지수', '통화량']",-1.405274553
"['서울아파트매매가격지수', '자가주거비', '수출물가지수']",-1.405614792
"['BAA', 'TCU', 'TOTALSA']",-1.40774433
"['서울아파트매매가격지수', 'KORPROINDMISMEI', 'IR3TCD01KRM156N']",-1.40953444
"['BAA', 'TCU', 'LRUNTTTTKRM156S']",-1.412641595
"['BAA', '수출물가지수', 'KORPROINDMISMEI']",-1.413225724
"['UNRATENSA', 'EXKOUS', 'KORCPIALLMINMEI']",-1.415879978
"['INDPRO', 'EXKOUS', 'IR3TCD01KRM156N']",-1.41595529
"['HSN1F', 'EXKOUS', 'IR3TCD01KRM156N']",-1.416528011
"['TWEXBMTH', 'TOTALSA', 'EXKOUS']",-1.419319031
"['PPIACO', 'CPIAUCSL', '서울아파트매매가격지수']",-1.420562685
"['BAA', 'PCE', 'TCU']",-1.421252564
"['PCE', 'HOUST', '서울아파트매매가격지수']",-1.424228502
"['서울아파트매매가격지수', '자가주거비', 'XTEXVA01CNM667S']",-1.42496763
"['CSUSHPINSA', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-1.425996115
"['BAA', 'EXKOUS', 'IR3TCD01KRM156N']",-1.426193139
"['TWEXBMTH', '자가주거비', 'EXKOUS']",-1.427174227
"['UMCSENT', '자가주거비', 'EXKOUS']",-1.428760655
"['PCE', 'UMCSENT', 'EXKOUS']",-1.429202642
"['TWEXBMTH', '자가주거비포함지수', 'EXKOUS']",-1.431183848
"['UNRATE', '자가주거비포함지수', 'EXKOUS']",-1.431378582
"['TOTALSA', 'EXKOUS', 'LRUNTTTTKRM156S']",-1.431622839
"['TOTALSA', 'UMCSENT', 'EXKOUS']",-1.435544025
"['EXKOUS', 'KORPROINDMISMEI', 'IR3TCD01KRM156N']",-1.438514976
"['PCE', 'TCU', 'EXKOUS']",-1.439394241
"['서울아파트매매가격지수', '자가주거비포함지수', 'XTEXVA01CNM667S']",-1.440849132
"['UNRATENSA', '서울아파트매매가격지수', '자가주거비']",-1.44135071
"['INDPRO', 'EXKOUS', '통화량']",-1.442545485
"['TWEXBMTH', 'EXKOUS', '환율평균']",-1.442765789
"['HOUST', '서울아파트매매가격지수', '자가주거비']",-1.443235153
"['UNRATE', 'EXKOUS', '통화량']",-1.44385908
"['Volume', '서울아파트매매가격지수', 'XTEXVA01CNM667S']",-1.444481546
"['BAA', 'TOTALSA', 'KORPROINDMISMEI']",-1.444673155
"['TWEXBMTH', 'HOUST', 'EXKOUS']",-1.44511084
"['PCE', 'EXKOUS', 'KORPROINDMISMEI']",-1.448968419
"['서울아파트매매가격지수', '자가주거비', '정책금리']",-1.449863231
"['UNRATE', 'LREMTTTTUSM156S', 'EXKOUS']",-1.450729636
"['BAA', 'TWEXBMTH', '환율평균']",-1.452007756
"['BAA', 'TCU', '통화량']",-1.452025566
"['자가주거비', 'EXKOUS', 'LRUNTTTTKRM156S']",-1.452466423
"['BAA', '자가주거비포함지수', 'GACDFSA066MSFRBPHI']",-1.453610165
"['TCU', '자가주거비', 'EXKOUS']",-1.453776756
"['TCU', 'EXKOUS', 'IR3TCD01KRM156N']",-1.454865483
"['BAA', 'LRUNTTTTKRM156S', 'IR3TCD01KRM156N']",-1.45487223
"['UNRATENSA', '자가주거비포함지수', 'EXKOUS']",-1.45528313
"['PCE', '서울아파트매매가격지수', 'XTEXVA01CNM667S']",-1.456603343
"['서울아파트매매가격지수', 'XTEXVA01CNM667S', '통화량']",-1.457611985
"['BAA', 'UNRATENSA', 'LRUNTTTTKRM156S']",-1.45867048
"['PCE', 'EXKOUS', 'LRUNTTTTKRM156S']",-1.458963663
"['BAA', 'UMCSENT', 'LRUNTTTTKRM156S']",-1.460672156
"['BAA', 'PCE', 'UMCSENT']",-1.460863165
"['TCU', 'UMCSENT', 'LRUNTTTTKRM156S']",-1.461016338
"['UMCSENT', 'EXKOUS', '통화량']",-1.461085953
"['UNRATENSA', 'EXKOUS', 'IR3TCD01KRM156N']",-1.461804217
"['EXKOUS', 'KORCPIALLMINMEI', 'IR3TCD01KRM156N']",-1.462133612
"['BAA', 'TOTALSA', 'UMCSENT']",-1.463527382
"['BAA', 'PPIACO', 'TOTALSA']",-1.465295951
"['EXKOUS', '통화량', 'IR3TCD01KRM156N']",-1.465842094
"['UNRATENSA', '자가주거비', 'EXKOUS']",-1.466010321
"['BAA', '수출물가지수', 'LRUNTTTTKRM156S']",-1.467736813
"['TWEXBMTH', 'EXKOUS', '통화량']",-1.467956907
"['LREMTTTTUSM156S', '서울아파트매매가격지수', '자가주거비']",-1.468341541
"['TWEXBMTH', 'UMCSENT', '환율평균']",-1.469684339
"['TOTALSA', '수출물가지수', 'XTIMVA01KRM667S']",-1.469856987
"['UNRATE', '자가주거비', 'EXKOUS']",-1.470813871
"['CPIAUCSL', '서울아파트매매가격지수', '수출물가지수']",-1.471504856
"['UMCSENT', '자가주거비포함지수', 'EXKOUS']",-1.471715528
"['TCU', 'EXKOUS', '통화량']",-1.472084811
"['TWEXBMTH', 'EXKOUS', '정책금리']",-1.472402954
"['PCE', 'UNRATENSA', 'EXKOUS']",-1.472642202
"['자가주거비', 'EXKOUS', 'IR3TCD01KRM156N']",-1.47427532
"['BAA', 'UMCSENT', 'IR3TCD01KRM156N']",-1.476404014
"['자가주거비', 'EXKOUS', 'KORPROINDMISMEI']",-1.476509305
"['LREMTTTTUSM156S', '자가주거비', 'EXKOUS']",-1.478156884
