DATE,GACDFSA066MSFRBPHI
2017-03-01,32.20000
2017-04-01,22.50000
2017-05-01,34.00000
2017-06-01,27.60000
2017-07-01,22.30000
2017-08-01,22.80000
2017-09-01,24.20000
2017-10-01,26.60000
2017-11-01,23.90000
2017-12-01,27.80000
2018-01-01,24.80000
2018-02-01,28.10000
2018-03-01,23.80000
2018-04-01,23.40000
2018-05-01,32.30000
2018-06-01,20.80000
2018-07-01,24.30000
2018-08-01,13.00000
2018-09-01,21.40000
2018-10-01,19.70000
2018-11-01,11.90000
2018-12-01,9.10000
2019-01-01,17.00000
2019-02-01,-4.10000
2019-03-01,13.70000
2019-04-01,8.50000
2019-05-01,16.60000
2019-06-01,0.30000
