,feature,accuracy,precision,recall
8937,"['UNRATENSA', '서울아파트매매가격지수', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8966,"['UNRATENSA', '수출물가지수', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
8979,"['UNRATENSA', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9021,"['UNRATENSA', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9040,"['UNRATENSA', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",0.815789474,1,0.125
9083,"['TCU', 'INDPRO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9272,"['TCU', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9317,"['TCU', '수출물가지수', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9433,"['INDPRO', 'PPIACO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9502,"['INDPRO', 'HOUST', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9523,"['INDPRO', 'HSN1F', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9562,"['INDPRO', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
9597,"['INDPRO', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9613,"['INDPRO', '서울아파트매매가격지수', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9642,"['INDPRO', '수출물가지수', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9655,"['INDPRO', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9678,"['INDPRO', 'EXCHUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9688,"['INDPRO', 'XTEXVA01CNM667S', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9697,"['INDPRO', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9713,"['INDPRO', 'GACDFSA066MSFRBPHI', 'XTIMVA01KRM667S']",0.815789474,1,0.125
9716,"['INDPRO', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",0.815789474,1,0.125
9718,"['INDPRO', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
9823,"['PPIACO', 'HSN1F', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9897,"['PPIACO', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9955,"['PPIACO', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
9970,"['PPIACO', 'EXKOUS', 'KORCPIALLMINMEI']",0.815789474,1,0.125
10013,"['PPIACO', 'GACDFSA066MSFRBPHI', 'XTIMVA01KRM667S']",0.815789474,1,0.125
10016,"['PPIACO', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",0.815789474,1,0.125
10218,"['RMFSL', '수출물가지수', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
10265,"['RMFSL', 'XTEXVA01CNM667S', 'XTIMVA01KRM667S']",0.815789474,1,0.125
10290,"['RMFSL', 'GACDFSA066MSFRBPHI', 'KORPROINDMISMEI']",0.815789474,1,0.125
10372,"['CPIAUCSL', 'FEDFUNDS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10571,"['HOUST', 'HSN1F', 'USSLIND']",0.815789474,1,0.125
10583,"['HOUST', 'HSN1F', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
10622,"['HOUST', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10657,"['HOUST', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10715,"['HOUST', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10748,"['HOUST', 'XTEXVA01CNM667S', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10757,"['HOUST', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10776,"['HOUST', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",0.815789474,1,0.125
10778,"['HOUST', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
10779,"['HOUST', 'GACDFSA066MSFRBPHI', '환율평균']",0.815789474,1,0.125
10813,"['HSN1F', 'FEDFUNDS', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
10822,"['HSN1F', 'USSLIND', 'UMCSENT']",0.815789474,1,0.125
10823,"['HSN1F', 'USSLIND', '서울아파트매매가격지수']",0.815789474,1,0.125
10827,"['HSN1F', 'USSLIND', 'EXKOUS']",0.815789474,1,0.125
10828,"['HSN1F', 'USSLIND', 'EXCHUS']",0.815789474,1,0.125
10832,"['HSN1F', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10850,"['HSN1F', 'TOTALSA', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10867,"['HSN1F', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
10883,"['HSN1F', '서울아파트매매가격지수', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10912,"['HSN1F', '수출물가지수', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
10925,"['HSN1F', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
10937,"['HSN1F', 'EXKOUS', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
10948,"['HSN1F', 'EXCHUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10958,"['HSN1F', 'XTEXVA01CNM667S', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10967,"['HSN1F', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
10983,"['HSN1F', 'GACDFSA066MSFRBPHI', 'XTIMVA01KRM667S']",0.842105263,1,0.25
10986,"['HSN1F', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",0.842105263,1,0.25
10987,"['HSN1F', 'GACDFSA066MSFRBPHI', '한국실업률']",0.815789474,1,0.125
10988,"['HSN1F', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
10989,"['HSN1F', 'GACDFSA066MSFRBPHI', '환율평균']",0.842105263,1,0.25
11040,"['FEDFUNDS', 'TOTALSA', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
11175,"['FEDFUNDS', 'GACDFSA066MSFRBPHI', 'KORCPIALLMINMEI']",0.815789474,1,0.125
11207,"['USSLIND', 'TOTALSA', 'EXCHUS']",0.815789474,1,0.125
11211,"['USSLIND', 'TOTALSA', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
11244,"['USSLIND', '서울아파트매매가격지수', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
11273,"['USSLIND', '수출물가지수', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
11286,"['USSLIND', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
11328,"['USSLIND', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
11345,"['USSLIND', 'GACDFSA066MSFRBPHI', 'KORPROINDMISMEI']",0.815789474,1,0.125
