DATE,Open,High,Low,Close,Adj Close,Volume,ac-rate,cm4,cm4up,cm4down,cm4normal,cm5,cm5up,cm5down,cm5normal
2011-07-01,12414.33984,12753.88965,12083.4502,12143.24023,12143.24023,3092480000,-2.18%,0,0,0,1,0,0,0,1
2011-08-01,12144.21973,12282.41992,10604.07031,11613.53027,11613.53027,6203230000,-4.36%,-1,0,1,0,0,0,0,1
2011-09-01,11613.29981,11716.83984,10597.13965,10913.37988,10913.37988,4396520000,-6.03%,-1,0,1,0,-1,0,1,0
2011-10-01,10912.09961,12284.30957,10404.49023,11955.00977,11955.00977,3907730000,9.54%,1,1,0,0,1,1,0,0
2011-11-01,11951.53027,12187.50977,11231.42969,12045.67969,12045.67969,3263110000,0.76%,0,0,0,1,0,0,0,1
2011-12-01,12046.20996,12328.46973,11735.19043,12217.55957,12217.55957,3071480000,1.43%,0,0,0,1,0,0,0,1
2012-01-01,12221.19043,12841.9502,12221.19043,12632.91016,12632.91016,2981080000,3.40%,0,0,0,1,0,0,0,1
2012-02-01,12632.75977,13055.75,12632.75977,12952.07031,12952.07031,2712170000,2.53%,0,0,0,1,0,0,0,1
2012-03-01,12952.29004,13289.08008,12734.86035,13212.04004,13212.04004,3203390000,2.01%,0,0,0,1,0,0,0,1
2012-04-01,13211.36035,13297.11035,12710.55957,13213.62988,13213.62988,2574900000,0.01%,0,0,0,1,0,0,0,1
2012-05-01,13214.16016,13338.66016,12311.55957,12393.4502,12393.4502,3050000000,-6.21%,-1,0,1,0,-1,0,1,0
2012-06-01,12391.55957,12898.94043,12035.08984,12880.08984,12880.08984,2923670000,3.93%,0,0,0,1,0,0,0,1
2012-07-01,12879.70996,13128.63965,12492.25,13008.67969,13008.67969,2578110000,1.00%,0,0,0,1,0,0,0,1
2012-08-01,13007.46973,13330.75977,12778.90039,13090.83984,13090.83984,2267280000,0.63%,0,0,0,1,0,0,0,1
2012-09-01,13092.15039,13653.24023,12977.08984,13437.12988,13437.12988,2701270000,2.65%,0,0,0,1,0,0,0,1
2012-10-01,13437.66016,13661.87012,13017.37012,13096.45996,13096.45996,2472600000,-2.54%,0,0,0,1,0,0,0,1
2012-11-01,13099.19043,13290.75,12471.49023,13025.58008,13025.58008,2683930000,-0.54%,0,0,0,1,0,0,0,1
2012-12-01,13027.73047,13365.86035,12883.88965,13104.13965,13104.13965,2666750000,0.60%,0,0,0,1,0,0,0,1
