,bias,미국 내구재 주문,미국 생산 자원사용률,미국 신규 실업수당 청구건수,"미국 항공기 제외, 비국방 자본재 주문",중국 차이신 PMI Actual
2738,1,177621.0,71.2129,4838000.0,53386.0,57.4
2737,1,177621.0,71.2129,4838000.0,53386.0,57.4
2736,1,177621.0,71.2129,4838000.0,53386.0,57.4
5560,1,177621.0,71.2129,4815000.0,53386.0,57.4
2735,1,177621.0,71.2129,4815000.0,53386.0,57.4
2734,1,177621.0,71.2129,4815000.0,53386.0,57.4
2733,1,177621.0,71.2129,4815000.0,53386.0,57.4
2732,1,177621.0,71.2129,4815000.0,53386.0,57.4
5561,1,177621.0,71.2129,4767000.0,53386.0,57.4
2731,1,177621.0,71.2129,4767000.0,53386.0,57.4
2730,1,177621.0,71.2129,4767000.0,53386.0,57.4
2729,1,177621.0,71.2129,4767000.0,53386.0,57.4
2728,1,177621.0,71.2129,4767000.0,53386.0,57.4
2727,1,177621.0,71.2129,4767000.0,53386.0,57.4
5562,1,177621.0,71.2129,4755000.0,53386.0,57.4
370,1,179916.0,71.8411,4755000.0,56130.0,55.8
2726,1,179916.0,71.8411,4755000.0,56130.0,55.8
2725,1,179916.0,71.8411,4755000.0,56130.0,55.8
2724,1,179916.0,71.8411,4755000.0,56130.0,55.8
2723,1,179916.0,71.8411,4755000.0,56130.0,55.8
5563,1,179916.0,71.8411,4766000.0,56130.0,55.8
2722,1,179916.0,71.8411,4766000.0,56130.0,55.8
2721,1,179916.0,71.8411,4766000.0,56130.0,55.8
2720,1,179916.0,71.8411,4766000.0,56130.0,55.8
2719,1,179916.0,71.8411,4766000.0,56130.0,55.8
2718,1,179916.0,71.8411,4766000.0,56130.0,55.8
5564,1,179916.0,71.8411,4750000.0,56130.0,55.8
2717,1,179916.0,71.8411,4750000.0,56130.0,55.8
2716,1,179916.0,71.8411,4750000.0,56130.0,55.8
2715,1,179916.0,71.8411,4750000.0,56130.0,55.8
2714,1,179916.0,71.8411,4750000.0,56130.0,55.8
2713,1,179916.0,71.8411,4750000.0,56130.0,55.8
5565,1,179916.0,71.8411,4743000.0,56130.0,55.8
2712,1,179916.0,71.8411,4743000.0,56130.0,55.8
2711,1,179916.0,71.8411,4743000.0,56130.0,55.8
2710,1,179916.0,71.8411,4743000.0,56130.0,55.8
2709,1,179916.0,71.8411,4743000.0,56130.0,55.8
2708,1,179916.0,71.8411,4743000.0,56130.0,55.8
5566,1,179916.0,71.8411,4668000.0,56130.0,55.8
2707,1,179916.0,71.8411,4668000.0,56130.0,55.8
2706,1,179916.0,71.8411,4668000.0,56130.0,55.8
2705,1,179916.0,71.8411,4668000.0,56130.0,55.8
371,1,186063.0,72.2743,4668000.0,52604.0,57.6
2704,1,186063.0,72.2743,4668000.0,52604.0,57.6
5567,1,186063.0,72.2743,4755000.0,52604.0,57.6
2703,1,186063.0,72.2743,4755000.0,52604.0,57.6
2702,1,186063.0,72.2743,4755000.0,52604.0,57.6
2701,1,186063.0,72.2743,4755000.0,52604.0,57.6
2700,1,186063.0,72.2743,4755000.0,52604.0,57.6
2699,1,186063.0,72.2743,4755000.0,52604.0,57.6
5568,1,186063.0,72.2743,4746000.0,52604.0,57.6
2698,1,186063.0,72.2743,4746000.0,52604.0,57.6
2697,1,186063.0,72.2743,4746000.0,52604.0,57.6
2696,1,186063.0,72.2743,4746000.0,52604.0,57.6
2695,1,186063.0,72.2743,4746000.0,52604.0,57.6
2694,1,186063.0,72.2743,4746000.0,52604.0,57.6
5569,1,186063.0,72.2743,4721000.0,52604.0,57.6
2693,1,186063.0,72.2743,4721000.0,52604.0,57.6
2692,1,186063.0,72.2743,4721000.0,52604.0,57.6
2691,1,186063.0,72.2743,4721000.0,52604.0,57.6
2690,1,186063.0,72.2743,4721000.0,52604.0,57.6
2689,1,186063.0,72.2743,4721000.0,52604.0,57.6
5570,1,186063.0,72.2743,4690000.0,52604.0,57.6
2688,1,186063.0,72.2743,4690000.0,52604.0,57.6
2687,1,186063.0,72.2743,4690000.0,52604.0,57.6
2686,1,186063.0,72.2743,4690000.0,52604.0,57.6
2685,1,186063.0,72.2743,4690000.0,52604.0,57.6
2684,1,186063.0,72.2743,4690000.0,52604.0,57.6
372,1,186327.0,73.4956,4695000.0,57162.0,55.2
2683,1,186327.0,73.4956,4695000.0,57162.0,55.2
2682,1,186327.0,73.4956,4695000.0,57162.0,55.2
2681,1,186327.0,73.4956,4695000.0,57162.0,55.2
2680,1,186327.0,73.4956,4695000.0,57162.0,55.2
5571,1,186327.0,73.4956,4707000.0,57162.0,55.2
2679,1,186327.0,73.4956,4707000.0,57162.0,55.2
2678,1,186327.0,73.4956,4707000.0,57162.0,55.2
2677,1,186327.0,73.4956,4707000.0,57162.0,55.2
2676,1,186327.0,73.4956,4707000.0,57162.0,55.2
2675,1,186327.0,73.4956,4707000.0,57162.0,55.2
5572,1,186327.0,73.4956,4688000.0,57162.0,55.2
2674,1,186327.0,73.4956,4688000.0,57162.0,55.2
2673,1,186327.0,73.4956,4688000.0,57162.0,55.2
2672,1,186327.0,73.4956,4688000.0,57162.0,55.2
2671,1,186327.0,73.4956,4688000.0,57162.0,55.2
5573,1,186327.0,73.4956,4731000.0,57162.0,55.2
2670,1,186327.0,73.4956,4731000.0,57162.0,55.2
2669,1,186327.0,73.4956,4731000.0,57162.0,55.2
2668,1,186327.0,73.4956,4731000.0,57162.0,55.2
2667,1,186327.0,73.4956,4731000.0,57162.0,55.2
2666,1,186327.0,73.4956,4731000.0,57162.0,55.2
5574,1,186327.0,73.4956,4553000.0,57162.0,55.2
2665,1,186327.0,73.4956,4553000.0,57162.0,55.2
373,1,187821.0,73.7648,4553000.0,59728.0,52.7
2664,1,187821.0,73.7648,4553000.0,59728.0,52.7
2663,1,187821.0,73.7648,4553000.0,59728.0,52.7
5575,1,187821.0,73.7648,4624000.0,59728.0,52.7
2662,1,187821.0,73.7648,4624000.0,59728.0,52.7
2661,1,187821.0,73.7648,4624000.0,59728.0,52.7
2660,1,187821.0,73.7648,4624000.0,59728.0,52.7
2659,1,187821.0,73.7648,4624000.0,59728.0,52.7
2658,1,187821.0,73.7648,4624000.0,59728.0,52.7
5576,1,187821.0,73.7648,4606000.0,59728.0,52.7
2657,1,187821.0,73.7648,4606000.0,59728.0,52.7
2656,1,187821.0,73.7648,4606000.0,59728.0,52.7
2655,1,187821.0,73.7648,4606000.0,59728.0,52.7
2654,1,187821.0,73.7648,4606000.0,59728.0,52.7
2653,1,187821.0,73.7648,4606000.0,59728.0,52.7
5577,1,187821.0,73.7648,4619000.0,59728.0,52.7
2652,1,187821.0,73.7648,4619000.0,59728.0,52.7
2651,1,187821.0,73.7648,4619000.0,59728.0,52.7
2650,1,187821.0,73.7648,4619000.0,59728.0,52.7
2649,1,187821.0,73.7648,4619000.0,59728.0,52.7
2648,1,187821.0,73.7648,4619000.0,59728.0,52.7
5578,1,187821.0,73.7648,4484000.0,59728.0,52.7
2647,1,187821.0,73.7648,4484000.0,59728.0,52.7
2646,1,187821.0,73.7648,4484000.0,59728.0,52.7
2645,1,187821.0,73.7648,4484000.0,59728.0,52.7
374,1,190184.0,74.2356,4484000.0,56453.0,50.4
2644,1,190184.0,74.2356,4484000.0,56453.0,50.4
5579,1,190184.0,74.2356,4620000.0,56453.0,50.4
2643,1,190184.0,74.2356,4620000.0,56453.0,50.4
2642,1,190184.0,74.2356,4620000.0,56453.0,50.4
2641,1,190184.0,74.2356,4620000.0,56453.0,50.4
2640,1,190184.0,74.2356,4620000.0,56453.0,50.4
2639,1,190184.0,74.2356,4620000.0,56453.0,50.4
5580,1,190184.0,74.2356,4482000.0,56453.0,50.4
2638,1,190184.0,74.2356,4482000.0,56453.0,50.4
2637,1,190184.0,74.2356,4482000.0,56453.0,50.4
2636,1,190184.0,74.2356,4482000.0,56453.0,50.4
2635,1,190184.0,74.2356,4482000.0,56453.0,50.4
2634,1,190184.0,74.2356,4482000.0,56453.0,50.4
5581,1,190184.0,74.2356,4545000.0,56453.0,50.4
2633,1,190184.0,74.2356,4545000.0,56453.0,50.4
2632,1,190184.0,74.2356,4545000.0,56453.0,50.4
2631,1,190184.0,74.2356,4545000.0,56453.0,50.4
2630,1,190184.0,74.2356,4545000.0,56453.0,50.4
2629,1,190184.0,74.2356,4545000.0,56453.0,50.4
5582,1,190184.0,74.2356,4529000.0,56453.0,50.4
2628,1,190184.0,74.2356,4529000.0,56453.0,50.4
2627,1,190184.0,74.2356,4529000.0,56453.0,50.4
2626,1,190184.0,74.2356,4529000.0,56453.0,50.4
2625,1,190184.0,74.2356,4529000.0,56453.0,50.4
2624,1,190184.0,74.2356,4529000.0,56453.0,50.4
5583,1,190184.0,74.2356,4467000.0,56453.0,50.4
375,1,191625.0,74.5955,4467000.0,58633.0,50.4
2623,1,191625.0,74.5955,4467000.0,58633.0,49.4
2622,1,191625.0,74.5955,4467000.0,58633.0,49.4
2621,1,191625.0,74.5955,4467000.0,58633.0,49.4
2620,1,191625.0,74.5955,4467000.0,58633.0,49.4
2619,1,191625.0,74.5955,4467000.0,58633.0,49.4
