DATE,무역 가중치 미국 달러 인덱스
2016-07-26,118.0135
2016-07-27,118.1271
2016-07-28,117.9666
2016-07-29,117.3948
2016-08-01,117.444
2016-08-02,117.48
2016-08-03,117.6394
2016-08-04,117.436
2016-08-05,117.5431
2016-08-08,116.9869
2016-08-09,116.4317
2016-08-10,116.1447
2016-08-11,115.9659
2016-08-12,116.108
2016-08-15,115.6961
2016-08-16,115.4458
2016-08-17,116.3466
2016-08-18,115.8118
2016-08-19,116.4216
2016-08-22,116.6474
2016-08-23,116.6507
2016-08-24,117.0595
2016-08-25,116.8144
2016-08-26,116.5876
2016-08-29,117.3114
2016-08-30,117.7199
2016-08-31,117.7838
2016-09-01,117.7293
2016-09-02,117.3823
2016-09-05,0
2016-09-06,116.4442
2016-09-07,116.3557
2016-09-08,116.8462
2016-09-09,117.668
2016-09-12,118.1602
2016-09-13,118.5687
2016-09-14,118.5476
2016-09-15,118.6003
2016-09-16,119.3355
2016-09-19,118.998
2016-09-20,119.3867
2016-09-21,119.2378
2016-09-22,118.521
2016-09-23,118.9397
2016-09-26,119.1901
2016-09-27,118.4789
2016-09-28,118.5898
2016-09-29,118.3076
2016-09-30,118.2632
2016-10-03,118.3193
2016-10-04,118.2617
2016-10-05,118.3305
2016-10-06,118.3343
2016-10-07,118.5278
2016-10-10,0
2016-10-11,118.3677
2016-10-12,118.4864
2016-10-13,118.6317
2016-10-14,118.6402
2016-10-17,118.4913
2016-10-18,117.8843
2016-10-19,117.6343
2016-10-20,117.8333
2016-10-21,118.1674
2016-10-24,117.9975
2016-10-25,117.7337
2016-10-26,118.1023
2016-10-27,118.5648
2016-10-28,118.4139
2016-10-31,118.4734
2016-11-01,118.9673
2016-11-02,119.4694
2016-11-03,119.1832
2016-11-04,118.9896
2016-11-07,118.2438
2016-11-08,117.7737
2016-11-09,120.1888
2016-11-10,122.0092
2016-11-11,0
2016-11-14,123.3305
2016-11-15,122.5266
2016-11-16,122.5865
2016-11-17,122.4445
2016-11-18,123.0806
2016-11-21,123.1034
2016-11-22,123.1032
2016-11-23,123.7723
2016-11-24,0
2016-11-25,123.7355
2016-11-28,123.4009
2016-11-29,123.4157
2016-11-30,123.1589
2016-12-01,123.6046
2016-12-02,123.3013
2016-12-05,123.1782
2016-12-06,122.7815
2016-12-07,122.5037
2016-12-08,122.5634
2016-12-09,122.7139
2016-12-12,122.4056
2016-12-13,122.3922
2016-12-14,122.3973
2016-12-15,123.7158
2016-12-16,123.5028
2016-12-19,123.4651
2016-12-20,123.4978
2016-12-21,123.5124
2016-12-22,123.9401
2016-12-23,123.6434
2016-12-26,0
2016-12-27,123.9326
2016-12-28,124.1195
2016-12-29,123.8294
2016-12-30,123.7202
2017-01-02,0
2017-01-03,124.3394
2017-01-04,124.6658
2017-01-05,124.0837
2017-01-06,124.2989
2017-01-09,124.4623
2017-01-10,124.7716
2017-01-11,125.288
2017-01-12,124.3015
2017-01-13,124.2991
2017-01-16,0
2017-01-17,123.8499
2017-01-18,124.3135
2017-01-19,124.6308
2017-01-20,0
2017-01-23,123.6021
2017-01-24,123.5139
2017-01-25,123.5355
2017-01-26,123.6333
2017-01-27,123.2015
2017-01-30,122.6392
2017-01-31,122.5665
2017-02-01,122.5593
2017-02-02,121.9985
2017-02-03,121.385
2017-02-06,121.6343
2017-02-07,122.1039
2017-02-08,121.7957
2017-02-09,121.67
2017-02-10,121.4847
2017-02-13,121.5785
2017-02-14,121.3915
2017-02-15,121.1957
2017-02-16,121.2678
2017-02-17,121.7154
2017-02-20,0
2017-02-21,121.6627
2017-02-22,120.7945
2017-02-23,120.2186
2017-02-24,120.5222
2017-02-27,120.4525
2017-02-28,120.6958
2017-03-01,120.7465
2017-03-02,121.0302
2017-03-03,120.6612
2017-03-06,120.4955
2017-03-07,120.4267
2017-03-08,120.8401
2017-03-09,121.1843
2017-03-10,120.8161
2017-03-13,120.615
2017-03-14,120.7413
2017-03-15,120.3451
2017-03-16,119.7713
2017-03-17,119.3673
2017-03-20,118.989
2017-03-21,119.0567
2017-03-22,119.0294
2017-03-23,119.0151
2017-03-24,118.6609
2017-03-27,118.386
2017-03-28,118.557
2017-03-29,118.5119
