,feature,accuracy,precision,recall
2834,"['상품수지', 'LREMTTTTUSM156S', 'IR3TCD01KRM156N']",0.810810811,1,0.125
2835,"['상품수지', 'LREMTTTTUSM156S', '환율평균']",0.810810811,1,0.125
2836,"['상품수지', 'DGORDER', 'TWEXBMTH']",0.810810811,1,0.125
2839,"['상품수지', 'DGORDER', 'INDPRO']",0.810810811,1,0.125
2844,"['상품수지', 'DGORDER', 'HSN1F']",0.810810811,1,0.125
2846,"['상품수지', 'DGORDER', 'USSLIND']",0.810810811,1,0.125
2848,"['상품수지', 'DGORDER', 'UMCSENT']",0.810810811,1,0.125
2854,"['상품수지', 'DGORDER', 'EXJPUS']",0.810810811,1,0.125
2870,"['상품수지', 'TWEXBMTH', 'INDPRO']",0.810810811,1,0.125
2875,"['상품수지', 'TWEXBMTH', 'HSN1F']",0.810810811,1,0.125
2879,"['상품수지', 'TWEXBMTH', 'UMCSENT']",0.810810811,1,0.125
2884,"['상품수지', 'TWEXBMTH', '수출물가지수']",0.837837838,1,0.25
2885,"['상품수지', 'TWEXBMTH', 'EXJPUS']",0.810810811,1,0.125
2888,"['상품수지', 'TWEXBMTH', 'XTEXVA01CNM667S']",0.864864865,1,0.375
2891,"['상품수지', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0.810810811,1,0.125
2893,"['상품수지', 'TWEXBMTH', 'KORPROINDMISMEI']",0.810810811,1,0.125
2902,"['상품수지', 'UNRATENSA', 'RMFSL']",0.810810811,1,0.125
2905,"['상품수지', 'UNRATENSA', 'HSN1F']",0.810810811,1,0.125
2928,"['상품수지', 'UNRATENSA', '환율평균']",0.810810811,1,0.125
2943,"['상품수지', 'TCU', '수출물가지수']",0.810810811,1,0.125
2959,"['상품수지', 'INDPRO', 'RMFSL']",0.810810811,1,0.125
2961,"['상품수지', 'INDPRO', 'HOUST']",0.837837838,1,0.25
2962,"['상품수지', 'INDPRO', 'HSN1F']",0.810810811,1,0.125
2964,"['상품수지', 'INDPRO', 'USSLIND']",0.810810811,1,0.125
