,DATE,미국 내구재 주문,미국 비농업 고용자수,미국 비농업 급여,미국 소비율,미국 소비자 물가 상승률,미국 신규 실업수당 청구건수,미국 신규주택착공,미국 신규주택판매 지수,미국 실업률,"미국 항공기 제외, 비국방 자본재 주문",컨퍼런스보드 소비자 심리지수,Close
223,2010-09-01,200257.0,130373.0,130373,10249.0,218.275,4467750.0,594.0,317.0,9.5,59839.0,48.5,1815.7494600000002
224,2010-10-01,194567.0,130642.0,130642,10304.7,219.035,4363400.0,543.0,291.0,9.4,57751.0,49.9,1889.697138
225,2010-11-01,196177.0,130765.0,130765,10354.7,219.59,9649750.0,545.0,287.0,9.8,60426.0,104.2,3728.359081
226,2010-12-01,194518.0,130839.0,130839,10392.1,220.472,13749750.0,539.0,326.0,9.3,61858.0,157.5,5730.863165
227,2011-01-01,203534.0,130859.0,130859,10435.5,221.187,14918200.0,630.0,307.0,9.1,60696.0,222.3,8095.371402
228,2011-02-01,195611.0,131072.0,131072,10470.1,221.898,3849250.0,517.0,270.0,9.0,59049.0,72.0,2003.108822
229,2011-03-01,210937.0,131304.0,131304,10550.5,223.046,3765500.0,600.0,300.0,9.0,62057.0,63.8,2002.6690839999999
230,2011-04-01,201546.0,131625.0,131625,10587.6,224.093,3770800.0,554.0,310.0,9.1,61957.0,66.0,2153.132371
231,2011-05-01,205957.0,131720.0,131720,10612.0,224.80599999999998,3773750.0,561.0,305.0,9.0,63863.0,61.7,2121.871967
232,2011-06-01,201861.0,131955.0,131955,10636.8,224.80599999999998,3741750.0,608.0,301.0,9.1,63492.0,57.6,2074.64381
233,2011-07-01,207547.0,132016.0,132016,10677.5,225.395,3721600.0,623.0,296.0,9.0,64870.0,59.2,2150.056187
234,2011-08-01,215526.0,132138.0,132138,10700.6,226.106,3716000.0,585.0,299.0,9.0,64663.0,45.2,1869.40772
235,2011-09-01,207678.0,132374.0,132374,10738.1,226.597,3742750.0,650.0,304.0,9.0,65559.0,46.4,1790.949487
236,2011-10-01,208606.0,132578.0,132578,10753.1,226.75,3701600.0,610.0,316.0,8.8,67585.0,40.9,1825.544507
237,2011-11-01,217018.0,132710.0,132710,10759.5,227.169,8279500.0,711.0,328.0,8.6,65081.0,96.1,3518.381381
238,2011-12-01,226369.0,132914.0,132914,10772.2,227.22299999999998,10197000.0,694.0,341.0,8.5,68520.0,160.9,5549.153361
239,2012-01-01,224023.0,133269.0,133269,10862.1,227.842,16197500.0,723.0,335.0,8.3,67740.0,222.4,7717.622534
240,2012-02-01,226122.0,133531.0,133531,10953.5,228.329,3381750.0,704.0,366.0,8.3,69729.0,71.6,2003.2314219999998
241,2012-03-01,220455.0,133769.0,133769,10951.8,228.80700000000002,3336800.0,695.0,354.0,8.2,69443.0,69.5,2023.407145
242,2012-04-01,218051.0,133852.0,133852,10979.7,229.187,3323000.0,753.0,354.0,8.2,67904.0,68.7,1995.9195129999998
243,2012-05-01,218474.0,133951.0,133951,10968.6,228.713,3328000.0,708.0,370.0,8.2,69087.0,64.4,1886.350946
244,2012-06-01,218603.0,134023.0,134023,10946.3,228.524,3324400.0,757.0,360.0,8.2,66981.0,62.7,1848.5995059999998
245,2012-07-01,223677.0,134176.0,134176,10977.2,228.59,3305750.0,740.0,369.0,8.2,65108.0,65.4,1826.75
246,2012-08-01,203112.0,134346.0,134346,11004.1,229.918,3306250.0,754.0,375.0,8.1,63671.0,61.3,1918.912281
247,2012-09-01,216283.0,134535.0,134535,11061.5,231.015,3314400.0,847.0,385.0,7.8,63851.0,68.4,1961.288977
248,2012-10-01,217712.0,134693.0,134693,11099.8,231.638,3276250.0,915.0,358.0,7.8,65817.0,72.2,1942.193819
