DATE,XTIMVA01KRM667S
2007-03-01,28173307526
2007-04-01,29461748297
2007-05-01,29411257249
2007-06-01,29144333578
2007-07-01,29171751686
2007-08-01,29681018149
2007-09-01,28601454204
2007-10-01,32028412551
2007-11-01,33082072437
2007-12-01,33491147787
2008-01-01,36045861434
2008-02-01,34842460617
2008-03-01,36462013428
2008-04-01,37388553948
2008-05-01,38873755664
2008-06-01,38678223591
2008-07-01,41978372210
2008-08-01,41956346631
2008-09-01,39940540035
2008-10-01,35318028920
2008-11-01,29231097042
2008-12-01,25305876307
2009-01-01,25143217525
2009-02-01,24297736093
2009-03-01,23105361206
2009-04-01,24325295526
2009-05-01,23986456118
2009-06-01,25779315038
2009-07-01,27043202018
2009-08-01,28434692557
2009-09-01,30038212147
2009-10-01,30283009959
2009-11-01,29418956560
2009-12-01,31362070881
2010-01-01,31980614350
2010-02-01,34003620054
2010-03-01,33718109515
2010-04-01,34805621553
2010-05-01,35936892623
2010-06-01,35138172001
2010-07-01,35352306962
2010-08-01,36075419292
2010-09-01,35283502111
2010-10-01,37080037844
2010-11-01,37807460481
2010-12-01,37977044016
2011-01-01,42571753761
2011-02-01,39872534732
2011-03-01,43187660690
2011-04-01,44258982211
2011-05-01,45685792069
2011-06-01,44677136536
2011-07-01,45188032906
2011-08-01,45404954171
2011-09-01,45639279909
2011-10-01,42797102538
2011-11-01,42047294953
2011-12-01,44076858649
2012-01-01,43173048282
2012-02-01,46397996821
2012-03-01,43650637798
2012-04-01,44033930840
2012-05-01,43912243105
2012-06-01,42785123711
2012-07-01,41895180309
2012-08-01,41137097431
2012-09-01,44816599851
2012-10-01,41597640272
2012-11-01,42400682810
2012-12-01,42649633097
2013-01-01,43965171193
2013-02-01,44321112245
2013-03-01,43554913625
2013-04-01,42784525986
2013-05-01,41859504740
2013-06-01,42407368941
2013-07-01,42360474051
2013-08-01,42534856378
2013-09-01,42295847594
2013-10-01,43721277911
2013-11-01,43053383848
2013-12-01,42959960709
2014-01-01,43432237881
2014-02-01,46086890238
2014-03-01,45127218761
2014-04-01,44974270660
2014-05-01,43015791430
2014-06-01,43278427156
2014-07-01,44778771040
2014-08-01,44724802277
2014-09-01,44533461868
2014-10-01,42265181875
2014-11-01,42195056233
2014-12-01,41602386871
2015-01-01,38975161950
2015-02-01,37262070866
2015-03-01,37301352263
2015-04-01,37124891064
2015-05-01,37197677053
2015-06-01,36480387776
2015-07-01,37732999869
2015-08-01,36341833741
2015-09-01,34815297628
2015-10-01,36008564287
2015-11-01,33988994718
2015-12-01,33592575714
2016-01-01,31763054925
2016-02-01,30024167401
2016-03-01,31620413068
2016-04-01,32470308639
2016-05-01,33353294511
2016-06-01,33780277245
2016-07-01,34045746923
2016-08-01,35117636352
2016-09-01,34262250874
2016-10-01,35086922427
2016-11-01,36360376254
2016-12-01,37082014261
2017-01-01,37342397822
2017-02-01,39683794039
2017-03-01,40378169492
2017-04-01,38902759897
2017-05-01,38823945197
2017-06-01,40419326441
2017-07-01,39391997445
2017-08-01,40570007995
2017-09-01,42966405642
2017-10-01,37070854143
2017-11-01,41012025568
2017-12-01,43068923692
2018-01-01,44445812768
2018-02-01,45735023087
2018-03-01,43522118965
2018-04-01,43813688548
2018-05-01,43937795120
2018-06-01,45846449012
2018-07-01,44838503174
2018-08-01,44384388320
2018-09-01,43221745618
2018-10-01,46440664089
2018-11-01,45687071257
2018-12-01,43557755773
2019-01-01,43700971733
2019-02-01,40004002884
2019-03-01,41533432549
2019-04-01,43976872618
