feature,precision
"['Volume', 'NEWORDER', 'HOUST']",0.214285714
"['Volume', 'NEWORDER', 'HSN1F']",0.153846154
"['Volume', 'NEWORDER', 'FEDFUNDS']",0.21875
"['Volume', 'NEWORDER', 'USSLIND']",0.176470588
"['Volume', 'NEWORDER', 'TOTALSA']",0
"['Volume', 'NEWORDER', 'UMCSENT']",0.125
"['Volume', 'NEWORDER', '서울아파트매매가격지수']",0.24
"['Volume', 'NEWORDER', 'AMBNS']",0.142857143
"['Volume', 'NEWORDER', '자가주거비포함지수']",0.25
"['Volume', 'NEWORDER', '자가주거비']",0.166666667
"['Volume', 'NEWORDER', '수출물가지수']",0.136363636
"['Volume', 'NEWORDER', 'EXJPUS']",0.193548387
"['Volume', 'NEWORDER', 'EXKOUS']",0.25
"['Volume', 'NEWORDER', 'EXCHUS']",0.181818182
"['Volume', 'NEWORDER', 'XTEXVA01CNM667S']",0.133333333
"['Volume', 'NEWORDER', '정책금리']",0.1875
"['Volume', 'NEWORDER', '통화량']",0.214285714
"['Volume', 'NEWORDER', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'NEWORDER', 'XTIMVA01KRM667S']",0.272727273
"['Volume', 'NEWORDER', 'KORPROINDMISMEI']",0.2
"['Volume', 'NEWORDER', 'KORCPIALLMINMEI']",0.230769231
"['Volume', 'NEWORDER', 'LRUNTTTTKRM156S']",0
"['Volume', 'NEWORDER', '한국실업률']",0.230769231
"['Volume', 'NEWORDER', 'IR3TCD01KRM156N']",0.166666667
"['Volume', 'NEWORDER', '환율평균']",0.1875
"['Volume', 'CSUSHPINSA', 'PCE']",0.194444444
"['Volume', 'CSUSHPINSA', 'LREMTTTTUSM156S']",0.125
"['Volume', 'CSUSHPINSA', 'DGORDER']",0.066666667
"['Volume', 'CSUSHPINSA', 'TWEXBMTH']",0.193548387
"['Volume', 'CSUSHPINSA', 'UNRATENSA']",0
"['Volume', 'CSUSHPINSA', 'TCU']",0.076923077
"['Volume', 'CSUSHPINSA', 'INDPRO']",0.071428571
"['Volume', 'CSUSHPINSA', 'PPIACO']",0.194444444
"['Volume', 'CSUSHPINSA', 'RMFSL']",0
"['Volume', 'CSUSHPINSA', 'CPIAUCSL']",0.176470588
"['Volume', 'CSUSHPINSA', 'HOUST']",0.125
"['Volume', 'CSUSHPINSA', 'HSN1F']",0.185185185
"['Volume', 'CSUSHPINSA', 'FEDFUNDS']",0.2
"['Volume', 'CSUSHPINSA', 'USSLIND']",0.052631579
"['Volume', 'CSUSHPINSA', 'TOTALSA']",0.058823529
"['Volume', 'CSUSHPINSA', 'UMCSENT']",0.142857143
"['Volume', 'CSUSHPINSA', '서울아파트매매가격지수']",0.194444444
"['Volume', 'CSUSHPINSA', 'AMBNS']",0.193548387
"['Volume', 'CSUSHPINSA', '자가주거비포함지수']",0.133333333
"['Volume', 'CSUSHPINSA', '자가주거비']",0.214285714
"['Volume', 'CSUSHPINSA', '수출물가지수']",0.105263158
"['Volume', 'CSUSHPINSA', 'EXJPUS']",0.208333333
"['Volume', 'CSUSHPINSA', 'EXKOUS']",0.142857143
"['Volume', 'CSUSHPINSA', 'EXCHUS']",0.151515152
"['Volume', 'CSUSHPINSA', 'XTEXVA01CNM667S']",0.166666667
"['Volume', 'CSUSHPINSA', '정책금리']",0.151515152
"['Volume', 'CSUSHPINSA', '통화량']",0.181818182
"['Volume', 'CSUSHPINSA', 'GACDFSA066MSFRBPHI']",0.166666667
"['Volume', 'CSUSHPINSA', 'XTIMVA01KRM667S']",0.142857143
"['Volume', 'CSUSHPINSA', 'KORPROINDMISMEI']",0.171428571
"['Volume', 'CSUSHPINSA', 'KORCPIALLMINMEI']",0.15
"['Volume', 'CSUSHPINSA', 'LRUNTTTTKRM156S']",0.214285714
"['Volume', 'CSUSHPINSA', '한국실업률']",0.230769231
"['Volume', 'CSUSHPINSA', 'IR3TCD01KRM156N']",0.1875
"['Volume', 'CSUSHPINSA', '환율평균']",0.1
"['Volume', 'PCE', 'LREMTTTTUSM156S']",0.260869565
"['Volume', 'PCE', 'DGORDER']",0.157894737
"['Volume', 'PCE', 'TWEXBMTH']",0.193548387
"['Volume', 'PCE', 'UNRATENSA']",0.176470588
"['Volume', 'PCE', 'TCU']",0.1
"['Volume', 'PCE', 'INDPRO']",0.166666667
"['Volume', 'PCE', 'PPIACO']",0.15625
"['Volume', 'PCE', 'RMFSL']",0.15625
"['Volume', 'PCE', 'CPIAUCSL']",0.194444444
"['Volume', 'PCE', 'HOUST']",0.21875
"['Volume', 'PCE', 'HSN1F']",0.2
"['Volume', 'PCE', 'FEDFUNDS']",0.25
"['Volume', 'PCE', 'USSLIND']",0.192307692
"['Volume', 'PCE', 'TOTALSA']",0.181818182
"['Volume', 'PCE', 'UMCSENT']",0.205882353
"['Volume', 'PCE', '서울아파트매매가격지수']",0.172413793
"['Volume', 'PCE', 'AMBNS']",0.212121212
"['Volume', 'PCE', '자가주거비포함지수']",0.166666667
"['Volume', 'PCE', '자가주거비']",0.166666667
"['Volume', 'PCE', '수출물가지수']",0.176470588
"['Volume', 'PCE', 'EXJPUS']",0.130434783
"['Volume', 'PCE', 'EXKOUS']",0.166666667
"['Volume', 'PCE', 'EXCHUS']",0.147058824
"['Volume', 'PCE', 'XTEXVA01CNM667S']",0.166666667
"['Volume', 'PCE', '정책금리']",0.137931034
"['Volume', 'PCE', '통화량']",0.157894737
"['Volume', 'PCE', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'PCE', 'XTIMVA01KRM667S']",0.172413793
"['Volume', 'PCE', 'KORPROINDMISMEI']",0.205882353
"['Volume', 'PCE', 'KORCPIALLMINMEI']",0.133333333
"['Volume', 'PCE', 'LRUNTTTTKRM156S']",0.24
"['Volume', 'PCE', '한국실업률']",0.2
"['Volume', 'PCE', 'IR3TCD01KRM156N']",0.15625
"['Volume', 'PCE', '환율평균']",0.147058824
"['Volume', 'LREMTTTTUSM156S', 'DGORDER']",0.071428571
"['Volume', 'LREMTTTTUSM156S', 'TWEXBMTH']",0.259259259
"['Volume', 'LREMTTTTUSM156S', 'UNRATENSA']",0.2
