DATE,Open,High,Low,Close,Adj Close,Volume,HM4UP,HM3UP
2009-04-01,1214.060059,1377.819946,1201.709961,1369.359985,1369.359985,16097400,1,1
2009-05-01,1386.02002,1436.920044,1315.209961,1395.890015,1395.890015,13548600,0,1
2009-06-01,1394.920044,1437.76001,1350.310059,1390.069946,1390.069946,10956200,0,1
2009-07-01,1386.329956,1559.069946,1377.599976,1557.290039,1557.290039,10618400,1,1
2009-08-01,1561.939941,1616.290039,1530.650024,1591.849976,1591.849976,10723400,0,1
2009-09-01,1592.290039,1723.170044,1583.109985,1673.140015,1673.140015,10543400,1,1
2009-10-01,1680.459961,1685.01001,1564.410034,1580.689941,1580.689941,7676200,0,0
2009-11-01,1543.23999,1630.410034,1519.400024,1555.599976,1555.599976,5595600,1,1
2009-12-01,1550.349976,1695.329956,1541.089966,1682.77002,1682.77002,7338600,1,1
2010-01-01,1681.709961,1723.219971,1595.390015,1602.430054,1602.430054,9179800,0,0
2010-02-01,1603.869995,1631.709961,1548.780029,1594.579956,1594.579956,7208400,0,0
2010-03-01,1612.430054,1705.569946,1608.969971,1692.849976,1692.849976,9177000,1,1
2010-04-01,1695.300049,1757.76001,1695.300049,1741.560059,1741.560059,9276800,0,1
2010-05-01,1735.680054,1740.150024,1532.680054,1641.25,1641.25,7554400,0,0
2010-06-01,1634.550049,1741.47998,1618.569946,1698.290039,1698.290039,6700800,1,1
2010-07-01,1687,1778.719971,1650.300049,1759.329956,1759.329956,8028400,1,1
2010-08-01,1771.380005,1797.420044,1716.859985,1742.75,1742.75,7271800,0,0
2010-09-01,1751.959961,1873.790039,1748.300049,1872.810059,1872.810059,6299600,1,1
2010-10-01,1872.390015,1924.609985,1837.079956,1882.949951,1882.949951,7760200,0,0
2010-11-01,1889.569946,1976.459961,1875.339966,1904.630005,1904.630005,7287000,1,1
2010-12-01,1907.699951,2052.969971,1904.709961,2051,2051,8711800,1,1
2011-01-01,2063.689941,2121.060059,2054.830078,2069.72998,2069.72998,8110600,0,0
2011-02-01,2079.919922,2107.830078,1935.930054,1939.300049,1939.300049,5079800,0,0
2011-03-01,1922.380005,2106.73999,1882.089966,2106.699951,2106.699951,6618600,1,1
2011-04-01,2107.669922,2231.469971,2081.97998,2192.360107,2192.360107,7719600,1,1
2011-05-01,2203.090088,2229.090088,2030.680054,2142.469971,2142.469971,6219800,0,0
2011-06-01,2142.669922,2152.949951,2008.839966,2100.689941,2100.689941,5473000,0,0
2011-07-01,2120.030029,2192.830078,2105.23999,2133.209961,2133.209961,6595200,0,1
2011-08-01,2160.090088,2173.280029,1684.680054,1880.109985,1880.109985,9609800,0,0
2011-09-01,1887.209961,1928.400024,1644.109985,1769.650024,1769.650024,7688800,0,0
2011-10-01,1683.939941,1963.73999,1658.060059,1909.030029,1909.030029,7332800,1,1
2011-11-01,1891.219971,1932.949951,1766.72998,1847.51001,1847.51001,7830000,0,0
2011-12-01,1911.5,1929.180054,1750.599976,1825.73999,1825.73999,9119200,0,0
2012-01-01,1831.689941,1973.349976,1810.47998,1955.790039,1955.790039,8596400,1,1
2012-02-01,1948.569946,2047.430054,1947.459961,2030.25,2030.25,13202000,1,1
2012-03-01,2041.52002,2057.280029,1966.689941,2014.040039,2014.040039,10434800,0,0
2012-04-01,2022.420044,2051.800049,1954.01001,1981.98999,1981.98999,10648000,0,0
2012-05-01,1994.170044,2001.109985,1779.469971,1843.469971,1843.469971,10022200,0,0
2012-06-01,1832.079956,1908.189941,1776.849976,1854.01001,1854.01001,7462400,1,1
2012-07-01,1864.72998,1896.829956,1758.98999,1881.98999,1881.98999,8280400,0,0
2012-08-01,1870.579956,1964.069946,1843.869995,1905.119995,1905.119995,9803200,1,1
2012-09-01,1909.060059,2012.73999,1873.48999,1996.209961,1996.209961,15066400,1,1
2012-10-01,1998.52002,2007.839966,1884.77002,1912.060059,1912.060059,10137000,0,0
2012-11-01,1903.569946,1941.839966,1856.810059,1932.900024,1932.900024,9848600,0,0
2012-12-01,1937.280029,2006.079956,1928.089966,1997.050049,1997.050049,7146600,0,1
2013-01-01,2013.73999,2042.47998,1930.369995,1961.939941,1961.939941,10904400,0,0
2013-02-01,1964.75,2030.849976,1928.75,2026.48999,2026.48999,7307200,0,1
2013-03-01,2028.550049,2033.890015,1946.050049,2004.890015,2004.890015,6856000,0,0
2013-04-01,2009.939941,2010.150024,1888.300049,1963.949951,1963.949951,7694400,0,0
2013-05-01,1961.670044,2013.290039,1935.569946,2001.050049,2001.050049,6587000,0,0
2013-06-01,1993.109985,2000.560059,1770.530029,1863.319946,1863.319946,5605600,0,0
2013-07-01,1851.569946,1920.599976,1809.719971,1914.030029,1914.030029,7604000,0,1
2013-08-01,1916.560059,1939.280029,1838.52002,1926.359985,1926.359985,7040100,0,0
2013-09-01,1925.319946,2018.02002,1921.01001,1996.959961,1996.959961,5085300,1,1
2013-10-01,1997.619995,2063.280029,1981.209961,2030.089966,2030.089966,5704900,0,1
2013-11-01,2037.25,2050.699951,1963.420044,2044.869995,2044.869995,6103900,0,0
2013-12-01,2050.449951,2052.879883,1947.439941,2011.339966,2011.339966,4603600,0,0
2014-01-01,2013.109985,2013.890015,1899.76001,1941.150024,1941.150024,4815400,0,0
2014-02-01,1930.089966,1981.150024,1885.530029,1979.98999,1979.98999,4482200,0,0
2014-03-01,1967.900024,1989.800049,1913.640015,1985.609985,1985.609985,4720700,0,0
2014-04-01,1983.780029,2013.089966,1955.150024,1961.790039,1961.790039,4483900,0,0
2014-05-01,1966.290039,2022.589966,1934.719971,1994.959961,1994.959961,4285500,0,0
2014-06-01,1998.810059,2016.780029,1965.119995,2002.209961,2002.209961,4602000,0,0
2014-07-01,1993.290039,2093.080078,1985.530029,2076.120117,2076.120117,6982900,1,1
2014-08-01,2063.709961,2088.860107,2026.560059,2068.540039,2068.540039,6081500,0,0
2014-09-01,2067.800049,2072.590088,2007.300049,2020.089966,2020.089966,6542100,0,0
2014-10-01,2013.469971,2013.469971,1896.540039,1964.430054,1964.430054,7389300,0,0
2014-11-01,1959.660034,1994.819946,1923.050049,1980.780029,1980.780029,6001200,0,0
2014-12-01,1971.949951,1990.040039,1897.5,1915.589966,1915.589966,5525200,0,0
2015-01-01,1914.23999,1964.130005,1876.27002,1949.26001,1949.26001,6845600,0,0
2015-02-01,1947.910034,1993.430054,1932.75,1985.800049,1985.800049,5913300,0,0
2015-03-01,1996.719971,2047.130005,1969.130005,2041.030029,2041.030029,8511800,0,0
2015-04-01,2035.400024,2189.540039,2024.640015,2127.169922,2127.169922,11582800,1,1
2015-05-01,2134.939941,2148.699951,2067.98999,2114.800049,2114.800049,7388600,0,0
2015-06-01,2110.120117,2110.879883,2008.459961,2074.199951,2074.199951,9174900,0,0
2015-07-01,2077.27002,2110.810059,1983.780029,2030.160034,2030.160034,13372100,0,0
2015-08-01,2026.25,2038.410034,1800.75,1941.48999,1941.48999,8369000,0,0
2015-09-01,1934.439941,1996.469971,1868.47998,1962.810059,1962.810059,10051700,0,1
2015-10-01,1963.550049,2064.719971,1958.630005,2029.469971,2029.469971,13186400,1,1
2015-11-01,2033.150024,2056.120117,1942.849976,1991.969971,1991.969971,8998800,0,0
2015-12-01,2001.51001,2026.329956,1919.219971,1961.310059,1961.310059,9508000,0,0
2016-01-01,1954.469971,1954.52002,1830.060059,1912.060059,1912.060059,7301400,0,0
2016-02-01,1919.619995,1929.530029,1817.969971,1916.660034,1916.660034,6189400,0,0
2016-03-01,1944.27002,2009.099976,1935.550049,1995.849976,1995.849976,7284100,0,1
2016-04-01,1994.77002,2023.77002,1954.109985,1994.150024,1994.150024,7973500,0,0
2016-05-01,1991.839966,1991.839966,1937.670044,1983.400024,1983.400024,9650600,0,0
2016-06-01,1976.869995,2035.27002,1892.75,1970.349976,1970.349976,9815300,0,0
2016-07-01,1977.359985,2030.689941,1944.329956,2016.189941,2016.189941,8068000,0,0
2016-08-01,2024.709961,2063.090088,1993,2034.650024,2034.650024,7805400,0,0
2016-09-01,2022.959961,2073.889893,1991.469971,2043.630005,2043.630005,8851700,0,0
2016-10-01,2056.939941,2070.429932,2002.290039,2008.189941,2008.189941,6637000,0,0
2016-11-01,2003.410034,2015.22998,1931.069946,1983.47998,1983.47998,6610700,0,0
2016-12-01,1987.47998,2053.459961,1960.650024,2026.459961,2026.459961,5669300,0,1
2017-01-01,2034.310059,2091.02002,2028.469971,2067.570068,2067.570068,8195900,0,0
2017-02-01,2075.310059,2108.98999,2052.290039,2091.639893,2091.639893,7128900,0,0
2017-03-01,2105.189941,2182.419922,2067.679932,2160.22998,2160.22998,8869800,0,1
2017-04-01,2166.040039,2217.040039,2117.820068,2205.439941,2205.439941,7345700,0,0
2017-05-01,2213.610107,2371.669922,2212.870117,2347.379883,2347.379883,7028200,1,1
2017-06-01,2348.310059,2402.800049,2335.629883,2391.790039,2391.790039,7483800,0,0
2017-07-01,2397.659912,2453.169922,2372.830078,2402.709961,2402.709961,6225600,0,0
2017-08-01,2397.120117,2434.469971,2310.199951,2363.189941,2363.189941,5724100,0,0
2017-09-01,2367.449951,2429.120117,2314.310059,2394.469971,2394.469971,5594200,0,0
