DATE,Open,High,Low,Close,Adj Close,Volume,HM4UP,LM4D
1986-06-01,400.700012,405.5,391.799988,405.5,405.5,2569400000,0,0
1986-07-01,407,411.299988,369.100006,371.399994,371.399994,2411040000,0,1
1986-08-01,372.5,383.200012,364.399994,382.899994,382.899994,2101540000,0,0
1986-09-01,382.799988,384,342.299988,350.700012,350.700012,2203180000,0,1
1986-10-01,352.5,361.600006,351.200012,360.799988,360.799988,2152890000,0,0
1986-11-01,361,362.5,349.100006,359.600006,359.600006,2074770000,0,0
1986-12-01,357.399994,364.700012,347,348.799988,348.799988,2608890000,0,0
1987-01-01,351.299988,396.200012,348.799988,392.100006,392.100006,3184620000,1,0
1987-02-01,393.799988,425,392,425,425,3029700000,1,0
1987-03-01,425,440,422.899994,430.100006,430.100006,3305000000,0,0
1987-04-01,426.299988,439.200012,407.399994,417.799988,417.799988,3027000000,0,1
1987-05-01,418.600006,424.799988,404.5,416.5,416.5,2783700000,0,0
1987-06-01,415.5,429.899994,413.5,424.700012,424.700012,3274900000,0,0
1987-07-01,424.5,434.899994,423.700012,434.899994,434.899994,3379500000,0,0
1987-08-01,433.299988,455.799988,431.200012,455,455,3136000000,1,0
1987-09-01,455.5,456.299988,434.899994,444.299988,444.299988,3092900000,0,1
1987-10-01,446.200012,453.700012,288.5,323.299988,323.299988,4074200000,0,1
1987-11-01,325.399994,328.799988,301.600006,305.200012,305.200012,2497350000,0,1
1987-12-01,306.399994,333.200012,291.899994,330.5,330.5,2943710000,1,1
1988-01-01,335.100006,349.700012,329,344.700012,344.700012,2465240000,1,0
1988-02-01,346.200012,367,343.5,367,367,2492870000,1,0
1988-03-01,367.399994,382.600006,366.700012,374.600006,374.600006,3154880000,1,0
1988-04-01,373.700012,384.299988,369.799988,379.200012,379.200012,2502240000,0,0
1988-05-01,379,383.100006,362.399994,370.299988,370.299988,2467340000,0,1
1988-06-01,372.700012,394.799988,372.700012,394.700012,394.700012,3096040000,1,0
1988-07-01,394.200012,397.5,382.100006,387.299988,387.299988,2609630000,0,0
1988-08-01,387.600006,389.5,372.200012,376.600006,376.600006,2590980000,0,0
1988-09-01,374.200012,388.399994,372.200012,387.700012,387.700012,2344120000,0,0
1988-10-01,384.700012,388.899994,380.700012,382.5,382.5,2496530000,0,0
1988-11-01,382.700012,383.100006,364,371.5,371.5,2285850000,0,1
1988-12-01,372.100006,381.399994,371.200012,381.399994,381.399994,2486740000,0,0
1989-01-01,378.899994,401.399994,376.899994,401.299988,401.299988,2716010000,1,0
1989-02-01,401.799988,410.100006,398.200012,399.700012,399.700012,2527450000,0,0
1989-03-01,401,409.799988,397.799988,406.700012,406.700012,2869270000,0,0
1989-04-01,407,427.600006,406.5,427.600006,427.600006,2661880000,1,0
1989-05-01,425.899994,446.200012,425.799988,446.200012,446.200012,3074870000,1,0
1989-06-01,446.799988,454.600006,431.700012,435.299988,435.299988,3014700000,0,0
1989-07-01,434.5,453.799988,434.399994,453.799988,453.799988,2499440000,1,0
1989-08-01,455.200012,469.399994,452.399994,469.299988,469.299988,3057070000,0,0
1989-09-01,469.899994,474.600006,464.899994,472.899994,472.899994,2623010000,0,0
1989-10-01,472.799988,487.5,447.100006,455.600006,455.600006,3160470000,0,1
1989-11-01,456.200012,457.799988,446.799988,456.100006,456.100006,2532190000,0,0
1989-12-01,456.600006,459.399994,431.799988,454.799988,454.799988,2777730000,0,1
1990-01-01,452.899994,461.600006,410,415.799988,415.799988,3027830000,0,1
1990-02-01,416.799988,430.899994,416.200012,425.799988,425.799988,2420920000,0,0
1990-03-01,425.299988,443.299988,424.5,435.5,435.5,2885450000,1,0
1990-04-01,431.600006,438.5,417,420.100006,420.100006,2591450000,0,0
1990-05-01,422,460,420.700012,459,459,3468570000,1,0
1990-06-01,459.5,469.399994,453.200012,462.299988,462.299988,3142690000,0,0
1990-07-01,461.600006,470.299988,436.799988,438.200012,438.200012,2984860000,0,1
1990-08-01,437.700012,438.600006,359.700012,381.200012,381.200012,3111320000,0,1
1990-09-01,379,385.200012,334.600006,344.5,344.5,2089400000,0,1
1990-10-01,349,360.899994,323,329.799988,329.799988,2688480000,0,1
1990-11-01,328.600006,359.100006,327.799988,359.100006,359.100006,2378230000,1,0
1990-12-01,361.100006,378,359.799988,373.799988,373.799988,2500100000,1,0
1991-01-01,373,414.200012,353,414.200012,414.200012,2924360000,1,1
1991-02-01,415.100006,454.200012,413.5,453.100006,453.100006,3312960000,1,0
1991-03-01,450.600006,483.320007,450.299988,482.299988,482.299988,3585210000,1,0
